                PRELIMINARY PRICES AS OF 06/30/20 09:30 AM (CST)
MTH/                 ---- DAILY ---                        PT                     -------  PRIOR  DAY  -------
STRIKE     OPEN      HIGH      LOW       LAST      SETT    CHGE     EST.VOL       SETT         VOL         INT
6CE Chicago Ethanol (Platts) Calendar Spread Option -
JLY20      ----      ----      ----      ----      ----    UNCH                 .07500
AUG20      ----      ----      ----      ----      ----    UNCH                 .03000
SEP20      ----      ----      ----      ----      ----    UNCH                 .00750
OCT20      ----      ----      ----      ----      ----    UNCH                -.01000
NOV20      ----      ----      ----      ----      ----    UNCH                -.02750
DEC20      ----      ----      ----      ----      ----    UNCH                -.04000
A2 WTI OIL CS1 SYNTHT
AUG20      ----      ----      ----      ----      ----    UNCH                   -.11
SEP20      ----      ----      ----      ----      ----    UNCH                   -.11
OCT20      ----      ----      ----      ----      ----    UNCH                   -.12
NOV20      ----      ----      ----      ----      ----    UNCH                   -.13
DEC20      ----      ----      ----      ----      ----    UNCH                   -.11
JAN21      ----      ----      ----      ----      ----    UNCH                   -.12
FEB21      ----      ----      ----      ----      ----    UNCH                   -.12
MAR21      ----      ----      ----      ----      ----    UNCH                   -.12
APR21      ----      ----      ----      ----      ----    UNCH                   -.11
MAY21      ----      ----      ----      ----      ----    UNCH                   -.12
JUN21      ----      ----      ----      ----      ----    UNCH                   -.10
JLY21      ----      ----      ----      ----      ----    UNCH                   -.09
AUG21      ----      ----      ----      ----      ----    UNCH                   -.10
SEP21      ----      ----      ----      ----      ----    UNCH                   -.10
OCT21      ----      ----      ----      ----      ----    UNCH                   -.11
NOV21      ----      ----      ----      ----      ----    UNCH                   -.11
DEC21      ----      ----      ----      ----      ----    UNCH                   -.08
JAN22      ----      ----      ----      ----      ----    UNCH                   -.07
FEB22      ----      ----      ----      ----      ----    UNCH                   -.09
MAR22      ----      ----      ----      ----      ----    UNCH                   -.09
APR22      ----      ----      ----      ----      ----    UNCH                   -.09
MAY22      ----      ----      ----      ----      ----    UNCH                   -.11
JUN22      ----      ----      ----      ----      ----    UNCH                   -.08
JLY22      ----      ----      ----      ----      ----    UNCH                   -.09
AUG22      ----      ----      ----      ----      ----    UNCH                   -.10
SEP22      ----      ----      ----      ----      ----    UNCH                   -.11
OCT22      ----      ----      ----      ----      ----    UNCH                   -.13
NOV22      ----      ----      ----      ----      ----    UNCH                   -.12
DEC22      ----      ----      ----      ----      ----    UNCH                   -.08
JAN23      ----      ----      ----      ----      ----    UNCH                   -.09
FEB23      ----      ----      ----      ----      ----    UNCH                   -.08
MAR23      ----      ----      ----      ----      ----    UNCH                   -.09
APR23      ----      ----      ----      ----      ----    UNCH                   -.09
MAY23      ----      ----      ----      ----      ----    UNCH                   -.11
JUN23      ----      ----      ----      ----      ----    UNCH                   -.08
JLY23      ----      ----      ----      ----      ----    UNCH                   -.10
AUG23      ----      ----      ----      ----      ----    UNCH                   -.11
SEP23      ----      ----      ----      ----      ----    UNCH                   -.11
OCT23      ----      ----      ----      ----      ----    UNCH                   -.11
NOV23      ----      ----      ----      ----      ----    UNCH                   -.10
DEC23      ----      ----      ----      ----      ----    UNCH                   -.06
JAN24      ----      ----      ----      ----      ----    UNCH                   -.08
FEB24      ----      ----      ----      ----      ----    UNCH                   -.13
MAR24      ----      ----      ----      ----      ----    UNCH                   -.07
APR24      ----      ----      ----      ----      ----    UNCH                   -.12
MAY24      ----      ----      ----      ----      ----    UNCH                   -.07
JUN24      ----      ----      ----      ----      ----    UNCH                   -.07
JLY24      ----      ----      ----      ----      ----    UNCH                   -.10
AUG24      ----      ----      ----      ----      ----    UNCH                   -.11
SEP24      ----      ----      ----      ----      ----    UNCH                   -.10
OCT24      ----      ----      ----      ----      ----    UNCH                   -.12
NOV24      ----      ----      ----      ----      ----    UNCH                   -.11
DEC24      ----      ----      ----      ----      ----    UNCH                   -.05
JAN25      ----      ----      ----      ----      ----    UNCH                   -.13
FEB25      ----      ----      ----      ----      ----    UNCH                   -.07
MAR25      ----      ----      ----      ----      ----    UNCH                   -.13
APR25      ----      ----      ----      ----      ----    UNCH                   -.10
MAY25      ----      ----      ----      ----      ----    UNCH                   -.12
JUN25      ----      ----      ----      ----      ----    UNCH                   -.08
JLY25      ----      ----      ----      ----      ----    UNCH                   -.11
AUG25      ----      ----      ----      ----      ----    UNCH                   -.07
SEP25      ----      ----      ----      ----      ----    UNCH                   -.08
OCT25      ----      ----      ----      ----      ----    UNCH                   -.17
NOV25      ----      ----      ----      ----      ----    UNCH                   -.11
BH NY Harbor ULSD Bullet Futures
AUG20      ----      ----      ----      ----      ----    UNCH                 1.1775                      10
SEP20      ----      ----      ----      ----      ----    UNCH                 1.1991                      10
OCT20      ----      ----      ----      ----      ----    UNCH                 1.2214                      10
NOV20      ----      ----      ----      ----      ----    UNCH                 1.2410                      10
DEC20      ----      ----      ----      ----      ----    UNCH                 1.2562                      10
JAN21      ----      ----      ----      ----      ----    UNCH                 1.2709                       8
FEB21      ----      ----      ----      ----      ----    UNCH                 1.2827                       8
MAR21      ----      ----      ----      ----      ----    UNCH                 1.2905                       8
APR21      ----      ----      ----      ----      ----    UNCH                 1.2925                       8
MAY21      ----      ----      ----      ----      ----    UNCH                 1.2973                       8
JUN21      ----      ----      ----      ----      ----    UNCH                 1.3038                       8
JLY21      ----      ----      ----      ----      ----    UNCH                 1.3164                       8
AUG21      ----      ----      ----      ----      ----    UNCH                 1.3280                       8
SEP21      ----      ----      ----      ----      ----    UNCH                 1.3385                       8
OCT21      ----      ----      ----      ----      ----    UNCH                 1.3485                       8
NOV21      ----      ----      ----      ----      ----    UNCH                 1.3581                       8
DEC21      ----      ----      ----      ----      ----    UNCH                 1.3664                       8
JAN22      ----      ----      ----      ----      ----    UNCH                 1.3774
FEB22      ----      ----      ----      ----      ----    UNCH                 1.3864
MAR22      ----      ----      ----      ----      ----    UNCH                 1.3894
APR22      ----      ----      ----      ----      ----    UNCH                 1.3866
MAY22      ----      ----      ----      ----      ----    UNCH                 1.3881
JUN22      ----      ----      ----      ----      ----    UNCH                 1.3940
JLY22      ----      ----      ----      ----      ----    UNCH                 1.4058
AUG22      ----      ----      ----      ----      ----    UNCH                 1.4163
SEP22      ----      ----      ----      ----      ----    UNCH                 1.4266
OCT22      ----      ----      ----      ----      ----    UNCH                 1.4368
NOV22      ----      ----      ----      ----      ----    UNCH                 1.4445
DEC22      ----      ----      ----      ----      ----    UNCH                 1.4522
TOTAL                                                               EST.VOL                 VOLUME    OPEN INT
TOTAL                                                                                                      146
BZ1 Brent Crude Oil TAM Singapore Future
AUG20      ----      ----      ----      ----     41.44   +1.22                  40.22
SEP20      ----      ----      ----      ----     41.64   +1.38                  40.26
OCT20      ----      ----      ----      ----     41.75   +1.37                  40.38
BZ2 Brent Crude Oil TAM LONDON Future
AUG20      ----      ----      ----      ----      ----    UNCH                  41.33
SEP20      ----      ----      ----      ----      ----    UNCH                  41.33
OCT20      ----      ----      ----      ----      ----    UNCH                  41.42
BZL BZ TAM LONDON FUTURE
AUG20      ----      ----      ----      ----      ----    UNCH                    .00
SEP20      ----      ----      ----      ----      ----    UNCH                    .00
OCT20      ----      ----      ----      ----      ----    UNCH                    .00
BZS BZ TAM SINGAPORE FUTURE
AUG20      ----      ----      ----      ----       .00    UNCH                    .00
SEP20      ----      ----      ----      ----       .00    UNCH                    .00
OCT20      ----      ----      ----      ----       .00    UNCH                    .00
NOV20      ----      ----      ----      ----       .00    UNCH                    .00
CAY CRUDE OIL CS1 SYNTHT
AUG20      ----      ----      ----      ----      ----    UNCH                   -.11
SEP20      ----      ----      ----      ----      ----    UNCH                   -.11
OCT20      ----      ----      ----      ----      ----    UNCH                   -.12
NOV20      ----      ----      ----      ----      ----    UNCH                   -.13
DEC20      ----      ----      ----      ----      ----    UNCH                   -.11
JAN21      ----      ----      ----      ----      ----    UNCH                   -.12
FEB21      ----      ----      ----      ----      ----    UNCH                   -.12
MAR21      ----      ----      ----      ----      ----    UNCH                   -.12
APR21      ----      ----      ----      ----      ----    UNCH                   -.11
MAY21      ----      ----      ----      ----      ----    UNCH                   -.12
JUN21      ----      ----      ----      ----      ----    UNCH                   -.10
JLY21      ----      ----      ----      ----      ----    UNCH                   -.09
AUG21      ----      ----      ----      ----      ----    UNCH                   -.10
SEP21      ----      ----      ----      ----      ----    UNCH                   -.10
OCT21      ----      ----      ----      ----      ----    UNCH                   -.11
NOV21      ----      ----      ----      ----      ----    UNCH                   -.11
DEC21      ----      ----      ----      ----      ----    UNCH                   -.08
JAN22      ----      ----      ----      ----      ----    UNCH                   -.07
FEB22      ----      ----      ----      ----      ----    UNCH                   -.09
MAR22      ----      ----      ----      ----      ----    UNCH                   -.09
APR22      ----      ----      ----      ----      ----    UNCH                   -.09
MAY22      ----      ----      ----      ----      ----    UNCH                   -.11
JUN22      ----      ----      ----      ----      ----    UNCH                   -.08
JLY22      ----      ----      ----      ----      ----    UNCH                   -.09
AUG22      ----      ----      ----      ----      ----    UNCH                   -.10
SEP22      ----      ----      ----      ----      ----    UNCH                   -.11
OCT22      ----      ----      ----      ----      ----    UNCH                   -.13
NOV22      ----      ----      ----      ----      ----    UNCH                   -.12
DEC22      ----      ----      ----      ----      ----    UNCH                   -.08
JAN23      ----      ----      ----      ----      ----    UNCH                   -.09
FEB23      ----      ----      ----      ----      ----    UNCH                   -.08
MAR23      ----      ----      ----      ----      ----    UNCH                   -.09
APR23      ----      ----      ----      ----      ----    UNCH                   -.09
MAY23      ----      ----      ----      ----      ----    UNCH                   -.11
JUN23      ----      ----      ----      ----      ----    UNCH                   -.08
JLY23      ----      ----      ----      ----      ----    UNCH                   -.10
AUG23      ----      ----      ----      ----      ----    UNCH                   -.11
SEP23      ----      ----      ----      ----      ----    UNCH                   -.11
OCT23      ----      ----      ----      ----      ----    UNCH                   -.11
NOV23      ----      ----      ----      ----      ----    UNCH                   -.10
DEC23      ----      ----      ----      ----      ----    UNCH                   -.06
JAN24      ----      ----      ----      ----      ----    UNCH                   -.08
FEB24      ----      ----      ----      ----      ----    UNCH                   -.13
MAR24      ----      ----      ----      ----      ----    UNCH                   -.07
APR24      ----      ----      ----      ----      ----    UNCH                   -.12
MAY24      ----      ----      ----      ----      ----    UNCH                   -.07
JUN24      ----      ----      ----      ----      ----    UNCH                   -.07
JLY24      ----      ----      ----      ----      ----    UNCH                   -.10
AUG24      ----      ----      ----      ----      ----    UNCH                   -.11
SEP24      ----      ----      ----      ----      ----    UNCH                   -.10
OCT24      ----      ----      ----      ----      ----    UNCH                   -.12
NOV24      ----      ----      ----      ----      ----    UNCH                   -.11
DEC24      ----      ----      ----      ----      ----    UNCH                   -.05
JAN25      ----      ----      ----      ----      ----    UNCH                   -.13
FEB25      ----      ----      ----      ----      ----    UNCH                   -.07
MAR25      ----      ----      ----      ----      ----    UNCH                   -.13
APR25      ----      ----      ----      ----      ----    UNCH                   -.10
MAY25      ----      ----      ----      ----      ----    UNCH                   -.12
JUN25      ----      ----      ----      ----      ----    UNCH                   -.08
JLY25      ----      ----      ----      ----      ----    UNCH                   -.11
AUG25      ----      ----      ----      ----      ----    UNCH                   -.07
SEP25      ----      ----      ----      ----      ----    UNCH                   -.08
OCT25      ----      ----      ----      ----      ----    UNCH                   -.17
NOV25      ----      ----      ----      ----      ----    UNCH                   -.11
DEC25      ----      ----      ----      ----      ----    UNCH                   -.10
JAN26      ----      ----      ----      ----      ----    UNCH                   -.10
FEB26      ----      ----      ----      ----      ----    UNCH                   -.09
MAR26      ----      ----      ----      ----      ----    UNCH                   -.12
APR26      ----      ----      ----      ----      ----    UNCH                   -.14
MAY26      ----      ----      ----      ----      ----    UNCH                   -.09
