                PRELIMINARY PRICES AS OF 06/30/20 09:30 AM (CST)
MTH/                 ---- DAILY ---                        PT                     -------  PRIOR  DAY  -------
STRIKE     OPEN      HIGH      LOW       LAST      SETT    CHGE     EST.VOL       SETT         VOL         INT
MAR23      ----      ----      ----      ----      ----    UNCH                   2.32
APR23      ----      ----      ----      ----      ----    UNCH                   -.66
MAY23      ----      ----      ----      ----      ----    UNCH                   -.88
JUN23      ----      ----      ----      ----      ----    UNCH                   -.70
JLY23      ----      ----      ----      ----      ----    UNCH                  -1.04
G8 NAT GAS CS1 SYNTHT
AUG20      ----      ----      ----      ----      ----    UNCH                   -.45
SEP20      ----      ----      ----      ----      ----    UNCH                  -1.09
OCT20      ----      ----      ----      ----      ----    UNCH                  -3.92
NOV20      ----      ----      ----      ----      ----    UNCH                  -4.65
DEC20      ----      ----      ----      ----      ----    UNCH                  -1.39
JAN21      ----      ----      ----      ----      ----    UNCH                    .33
FEB21      ----      ----      ----      ----      ----    UNCH                   1.04
MAR21      ----      ----      ----      ----      ----    UNCH                   2.52
APR21      ----      ----      ----      ----      ----    UNCH                    .31
MAY21      ----      ----      ----      ----      ----    UNCH                   -.39
JUN21      ----      ----      ----      ----      ----    UNCH                   -.46
JLY21      ----      ----      ----      ----      ----    UNCH                   -.13
AUG21      ----      ----      ----      ----      ----    UNCH                    .13
SEP21      ----      ----      ----      ----      ----    UNCH                   -.19
OCT21      ----      ----      ----      ----      ----    UNCH                   -.45
NOV21      ----      ----      ----      ----      ----    UNCH                  -1.29
DEC21      ----      ----      ----      ----      ----    UNCH                  -1.02
JAN22      ----      ----      ----      ----      ----    UNCH                    .43
FEB22      ----      ----      ----      ----      ----    UNCH                   1.44
MAR22      ----      ----      ----      ----      ----    UNCH                   3.68
APR22      ----      ----      ----      ----      ----    UNCH                    .37
MAY22      ----      ----      ----      ----      ----    UNCH                   -.34
JUN22      ----      ----      ----      ----      ----    UNCH                   -.40
JLY22      ----      ----      ----      ----      ----    UNCH                   -.09
AUG22      ----      ----      ----      ----      ----    UNCH                    .16
SEP22      ----      ----      ----      ----      ----    UNCH                   -.19
OCT22      ----      ----      ----      ----      ----    UNCH                   -.64
NOV22      ----      ----      ----      ----      ----    UNCH                  -1.65
DEC22      ----      ----      ----      ----      ----    UNCH                  -1.22
JAN23      ----      ----      ----      ----      ----    UNCH                    .39
FEB23      ----      ----      ----      ----      ----    UNCH                   1.30
MAR23      ----      ----      ----      ----      ----    UNCH                   2.80
APR23      ----      ----      ----      ----      ----    UNCH                    .30
MAY23      ----      ----      ----      ----      ----    UNCH                   -.41
JUN23      ----      ----      ----      ----      ----    UNCH                   -.37
JLY23      ----      ----      ----      ----      ----    UNCH                   -.18
AUG23      ----      ----      ----      ----      ----    UNCH                    .08
SEP23      ----      ----      ----      ----      ----    UNCH                   -.23
OCT23      ----      ----      ----      ----      ----    UNCH                   -.71
NOV23      ----      ----      ----      ----      ----    UNCH                  -1.79
DEC23      ----      ----      ----      ----      ----    UNCH                  -1.21
JAN24      ----      ----      ----      ----      ----    UNCH                    .38
FEB24      ----      ----      ----      ----      ----    UNCH                   1.26
MAR24      ----      ----      ----      ----      ----    UNCH                   2.60
APR24      ----      ----      ----      ----      ----    UNCH                    .24
MAY24      ----      ----      ----      ----      ----    UNCH                   -.33
JUN24      ----      ----      ----      ----      ----    UNCH                   -.33
JLY24      ----      ----      ----      ----      ----    UNCH                   -.09
G9 NAT GAS CS2 SYNTHT
AUG20      ----      ----      ----      ----      ----    UNCH                  -1.54
SEP20      ----      ----      ----      ----      ----    UNCH                  -5.01
OCT20      ----      ----      ----      ----      ----    UNCH                  -8.57
NOV20      ----      ----      ----      ----      ----    UNCH                  -6.04
DEC20      ----      ----      ----      ----      ----    UNCH                  -1.06
JAN21      ----      ----      ----      ----      ----    UNCH                   1.37
FEB21      ----      ----      ----      ----      ----    UNCH                   3.56
MAR21      ----      ----      ----      ----      ----    UNCH                   2.83
APR21      ----      ----      ----      ----      ----    UNCH                   -.08
MAY21      ----      ----      ----      ----      ----    UNCH                   -.85
JUN21      ----      ----      ----      ----      ----    UNCH                   -.59
JLY21      ----      ----      ----      ----      ----    UNCH                    .00
AUG21      ----      ----      ----      ----      ----    UNCH                   -.06
SEP21      ----      ----      ----      ----      ----    UNCH                   -.64
OCT21      ----      ----      ----      ----      ----    UNCH                  -1.74
NOV21      ----      ----      ----      ----      ----    UNCH                  -2.31
DEC21      ----      ----      ----      ----      ----    UNCH                   -.59
JAN22      ----      ----      ----      ----      ----    UNCH                   1.87
FEB22      ----      ----      ----      ----      ----    UNCH                   5.12
MAR22      ----      ----      ----      ----      ----    UNCH                   4.05
APR22      ----      ----      ----      ----      ----    UNCH                    .03
MAY22      ----      ----      ----      ----      ----    UNCH                   -.74
JUN22      ----      ----      ----      ----      ----    UNCH                   -.49
JLY22      ----      ----      ----      ----      ----    UNCH                    .07
AUG22      ----      ----      ----      ----      ----    UNCH                   -.03
SEP22      ----      ----      ----      ----      ----    UNCH                   -.83
OCT22      ----      ----      ----      ----      ----    UNCH                  -2.29
NOV22      ----      ----      ----      ----      ----    UNCH                  -2.87
DEC22      ----      ----      ----      ----      ----    UNCH                   -.83
JAN23      ----      ----      ----      ----      ----    UNCH                   1.69
FEB23      ----      ----      ----      ----      ----    UNCH                   4.10
MAR23      ----      ----      ----      ----      ----    UNCH                   3.10
APR23      ----      ----      ----      ----      ----    UNCH                   -.11
MAY23      ----      ----      ----      ----      ----    UNCH                   -.78
JUN23      ----      ----      ----      ----      ----    UNCH                   -.55
JLY23      ----      ----      ----      ----      ----    UNCH                   -.10
GF HO 6 MO CSO SYNTH
AUG20      ----      ----      ----      ----      ----    UNCH                 -10.52
SEP20      ----      ----      ----      ----      ----    UNCH                  -9.14
OCT20      ----      ----      ----      ----      ----    UNCH                  -7.11
NOV20      ----      ----      ----      ----      ----    UNCH                  -5.63
DEC20      ----      ----      ----      ----      ----    UNCH                  -4.76
JAN21      ----      ----      ----      ----      ----    UNCH                  -4.55
FEB21      ----      ----      ----      ----      ----    UNCH                  -4.53
MAR21      ----      ----      ----      ----      ----    UNCH                  -4.80
APR21      ----      ----      ----      ----      ----    UNCH                  -5.60
MAY21      ----      ----      ----      ----      ----    UNCH                  -6.08
JUN21      ----      ----      ----      ----      ----    UNCH                  -6.26
JLY21      ----      ----      ----      ----      ----    UNCH                  -6.10
AUG21      ----      ----      ----      ----      ----    UNCH                  -5.84
DEC21      ----      ----      ----      ----      ----    UNCH                  -2.76
JUN22      ----      ----      ----      ----      ----    UNCH                  -5.82
DEC22      ----      ----      ----      ----      ----    UNCH                   -.70
JUN23      ----      ----      ----      ----      ----    UNCH                  -6.35
GHY HEATING OIL CS1 SYNT
AUG20      ----      ----      ----      ----      ----    UNCH                 -.0216
SEP20      ----      ----      ----      ----      ----    UNCH                 -.0223
OCT20      ----      ----      ----      ----      ----    UNCH                 -.0196
NOV20      ----      ----      ----      ----      ----    UNCH                 -.0152
DEC20      ----      ----      ----      ----      ----    UNCH                 -.0147
JAN21      ----      ----      ----      ----      ----    UNCH                 -.0118
FEB21      ----      ----      ----      ----      ----    UNCH                 -.0078
MAR21      ----      ----      ----      ----      ----    UNCH                 -.0020
APR21      ----      ----      ----      ----      ----    UNCH                 -.0048
MAY21      ----      ----      ----      ----      ----    UNCH                 -.0065
JUN21      ----      ----      ----      ----      ----    UNCH                 -.0126
JLY21      ----      ----      ----      ----      ----    UNCH                 -.0116
AUG21      ----      ----      ----      ----      ----    UNCH                 -.0105
SEP21      ----      ----      ----      ----      ----    UNCH                 -.0100
OCT21      ----      ----      ----      ----      ----    UNCH                 -.0096
NOV21      ----      ----      ----      ----      ----    UNCH                 -.0083
DEC21      ----      ----      ----      ----      ----    UNCH                 -.0110
JAN22      ----      ----      ----      ----      ----    UNCH                 -.0090
FEB22      ----      ----      ----      ----      ----    UNCH                 -.0030
MAR22      ----      ----      ----      ----      ----    UNCH                  .0028
APR22      ----      ----      ----      ----      ----    UNCH                 -.0015
MAY22      ----      ----      ----      ----      ----    UNCH                 -.0059
JUN22      ----      ----      ----      ----      ----    UNCH                 -.0118
JLY22      ----      ----      ----      ----      ----    UNCH                 -.0105
AUG22      ----      ----      ----      ----      ----    UNCH                 -.0103
SEP22      ----      ----      ----      ----      ----    UNCH                 -.0102
OCT22      ----      ----      ----      ----      ----    UNCH                 -.0077
NOV22      ----      ----      ----      ----      ----    UNCH                 -.0077
DEC22      ----      ----      ----      ----      ----    UNCH                 -.0119
JAN23      ----      ----      ----      ----      ----    UNCH                 -.0075
FEB23      ----      ----      ----      ----      ----    UNCH                 -.0023
MAR23      ----      ----      ----      ----      ----    UNCH                  .0086
APR23      ----      ----      ----      ----      ----    UNCH                  .0036
MAY23      ----      ----      ----      ----      ----    UNCH                  .0025
JUN23      ----      ----      ----      ----      ----    UNCH                 -.0104
JLY23      ----      ----      ----      ----      ----    UNCH                 -.0099
AUG23      ----      ----      ----      ----      ----    UNCH                 -.0095
SEP23      ----      ----      ----      ----      ----    UNCH                 -.0129
OCT23      ----      ----      ----      ----      ----    UNCH                 -.0118
NOV23      ----      ----      ----      ----      ----    UNCH                 -.0090
GK HO 2 MO CSO SYNTH
AUG20      ----      ----      ----      ----      ----    UNCH                  -4.39
SEP20      ----      ----      ----      ----      ----    UNCH                  -4.19
OCT20      ----      ----      ----      ----      ----    UNCH                  -3.48
NOV20      ----      ----      ----      ----      ----    UNCH                  -2.99
DEC20      ----      ----      ----      ----      ----    UNCH                  -2.65
JAN21      ----      ----      ----      ----      ----    UNCH                  -1.96
FEB21      ----      ----      ----      ----      ----    UNCH                   -.98
MAR21      ----      ----      ----      ----      ----    UNCH                   -.68
APR21      ----      ----      ----      ----      ----    UNCH                  -1.13
MAY21      ----      ----      ----      ----      ----    UNCH                  -1.91
JUN21      ----      ----      ----      ----      ----    UNCH                  -2.42
JLY21      ----      ----      ----      ----      ----    UNCH                  -2.21
GM HO 3 MO CSO SYNTH
AUG20      ----      ----      ----      ----      ----    UNCH                  -6.35
SEP20      ----      ----      ----      ----      ----    UNCH                  -5.71
OCT20      ----      ----      ----      ----      ----    UNCH                  -4.95
NOV20      ----      ----      ----      ----      ----    UNCH                  -4.17
DEC20      ----      ----      ----      ----      ----    UNCH                  -3.43
JAN21      ----      ----      ----      ----      ----    UNCH                  -2.16
FEB21      ----      ----      ----      ----      ----    UNCH                  -1.46
MAR21      ----      ----      ----      ----      ----    UNCH                  -1.33
APR21      ----      ----      ----      ----      ----    UNCH                  -2.39
MAY21      ----      ----      ----      ----      ----    UNCH                  -3.07
JUN21      ----      ----      ----      ----      ----    UNCH                  -3.47
JLY21      ----      ----      ----      ----      ----    UNCH                  -3.21
H6 NAT GAS CS12 SYNTHT
AUG20      ----      ----      ----      ----      ----    UNCH                  -8.28
SEP20      ----      ----      ----      ----      ----    UNCH                  -7.70
OCT20      ----      ----      ----      ----      ----    UNCH                  -6.80
NOV20      ----      ----      ----      ----      ----    UNCH                  -3.33
DEC20      ----      ----      ----      ----      ----    UNCH                    .03
JAN21      ----      ----      ----      ----      ----    UNCH                    .40
FEB21      ----      ----      ----      ----      ----    UNCH                    .50
MAR21      ----      ----      ----      ----      ----    UNCH                    .90
APR21      ----      ----      ----      ----      ----    UNCH                   2.06
MAY21      ----      ----      ----      ----      ----    UNCH                   2.12
JUN21      ----      ----      ----      ----      ----    UNCH                   2.17
JLY21      ----      ----      ----      ----      ----    UNCH                   2.23
AUG21      ----      ----      ----      ----      ----    UNCH                   2.27
SEP21      ----      ----      ----      ----      ----    UNCH                   2.30
OCT21      ----      ----      ----      ----      ----    UNCH                   2.30
NOV21      ----      ----      ----      ----      ----    UNCH                   2.11
DEC21      ----      ----      ----      ----      ----    UNCH                   1.75
JAN22      ----      ----      ----      ----      ----    UNCH                   1.55
FEB22      ----      ----      ----      ----      ----    UNCH                   1.51
MAR22      ----      ----      ----      ----      ----    UNCH                   1.37
APR22      ----      ----      ----      ----      ----    UNCH                    .49
MAY22      ----      ----      ----      ----      ----    UNCH                    .42
JUN22      ----      ----      ----      ----      ----    UNCH                    .35
JLY22      ----      ----      ----      ----      ----    UNCH                    .38
AUG22      ----      ----      ----      ----      ----    UNCH                    .29
SEP22      ----      ----      ----      ----      ----    UNCH                    .21
OCT22      ----      ----      ----      ----      ----    UNCH                    .17
NOV22      ----      ----      ----      ----      ----    UNCH                    .10
DEC22      ----      ----      ----      ----      ----    UNCH                   -.04
JAN23      ----      ----      ----      ----      ----    UNCH                   -.03
FEB23      ----      ----      ----      ----      ----    UNCH                   -.04
MAR23      ----      ----      ----      ----      ----    UNCH                   -.08
APR23      ----      ----      ----      ----      ----    UNCH                   -.28
MAY23      ----      ----      ----      ----      ----    UNCH                   -.34
JUN23      ----      ----      ----      ----      ----    UNCH                   -.26
JLY23      ----      ----      ----      ----      ----    UNCH                   -.22
H7 NAT GAS CS6 SYNTHT
AUG20      ----      ----      ----      ----      ----    UNCH                 -11.17
SEP20      ----      ----      ----      ----      ----    UNCH                  -9.68
OCT20      ----      ----      ----      ----      ----    UNCH                  -6.07
NOV20      ----      ----      ----      ----      ----    UNCH                  -1.84
DEC20      ----      ----      ----      ----      ----    UNCH                   2.42
JAN21      ----      ----      ----      ----      ----    UNCH                   3.35
FEB21      ----      ----      ----      ----      ----    UNCH                   2.89
MAR21      ----      ----      ----      ----      ----    UNCH                   1.98
APR21      ----      ----      ----      ----      ----    UNCH                   -.73
MAY21      ----      ----      ----      ----      ----    UNCH                  -1.49
JUN21      ----      ----      ----      ----      ----    UNCH                  -2.39
JLY21      ----      ----      ----      ----      ----    UNCH                  -2.95
AUG21      ----      ----      ----      ----      ----    UNCH                  -2.39
SEP21      ----      ----      ----      ----      ----    UNCH                  -1.08
OCT21      ----      ----      ----      ----      ----    UNCH                   2.79
NOV21      ----      ----      ----      ----      ----    UNCH                   3.61
DEC21      ----      ----      ----      ----      ----    UNCH                   4.56
JAN22      ----      ----      ----      ----      ----    UNCH                   5.18
FEB22      ----      ----      ----      ----      ----    UNCH                   4.66
MAR22      ----      ----      ----      ----      ----    UNCH                   3.38
APR22      ----      ----      ----      ----      ----    UNCH                   -.49
MAY22      ----      ----      ----      ----      ----    UNCH                  -1.50
JUN22      ----      ----      ----      ----      ----    UNCH                  -2.81
JLY22      ----      ----      ----      ----      ----    UNCH                  -3.63
AUG22      ----      ----      ----      ----      ----    UNCH                  -3.15
SEP22      ----      ----      ----      ----      ----    UNCH                  -2.01
OCT22      ----      ----      ----      ----      ----    UNCH                    .98
NOV22      ----      ----      ----      ----      ----    UNCH                   1.92
DEC22      ----      ----      ----      ----      ----    UNCH                   3.16
JAN23      ----      ----      ----      ----      ----    UNCH                   4.01
FEB23      ----      ----      ----      ----      ----    UNCH                   3.44
MAR23      ----      ----      ----      ----      ----    UNCH                   2.22
APR23      ----      ----      ----      ----      ----    UNCH                   -.81
MAY23      ----      ----      ----      ----      ----    UNCH                  -1.82
JUN23      ----      ----      ----      ----      ----    UNCH                  -3.20
JLY23      ----      ----      ----      ----      ----    UNCH                  -4.04
H8 NAT GAS CS5 SYNTHT
AUG20      ----      ----      ----      ----      ----    UNCH                 -11.50
SEP20      ----      ----      ----      ----      ----    UNCH                 -10.72
OCT20      ----      ----      ----      ----      ----    UNCH                  -8.59
NOV20      ----      ----      ----      ----      ----    UNCH                  -2.15
DEC20      ----      ----      ----      ----      ----    UNCH                   2.81
JAN21      ----      ----      ----      ----      ----    UNCH                   3.81
FEB21      ----      ----      ----      ----      ----    UNCH                   3.02
MAR21      ----      ----      ----      ----      ----    UNCH                   1.85
APR21      ----      ----      ----      ----      ----    UNCH                   -.54
MAY21      ----      ----      ----      ----      ----    UNCH                  -1.04
JUN21      ----      ----      ----      ----      ----    UNCH                  -1.10
JLY21      ----      ----      ----      ----      ----    UNCH                  -1.93
AUG21      ----      ----      ----      ----      ----    UNCH                  -2.82
SEP21      ----      ----      ----      ----      ----    UNCH                  -2.52
OCT21      ----      ----      ----      ----      ----    UNCH                   -.89
NOV21      ----      ----      ----      ----      ----    UNCH                   3.24
DEC21      ----      ----      ----      ----      ----    UNCH                   4.90
JAN22      ----      ----      ----      ----      ----    UNCH                   5.58
FEB22      ----      ----      ----      ----      ----    UNCH                   4.75
MAR22      ----      ----      ----      ----      ----    UNCH                   3.22
APR22      ----      ----      ----      ----      ----    UNCH                   -.30
MAY22      ----      ----      ----      ----      ----    UNCH                   -.86
JUN22      ----      ----      ----      ----      ----    UNCH                  -1.16
JLY22      ----      ----      ----      ----      ----    UNCH                  -2.41
AUG22      ----      ----      ----      ----      ----    UNCH                  -3.54
SEP22      ----      ----      ----      ----      ----    UNCH                  -3.31
OCT22      ----      ----      ----      ----      ----    UNCH                  -1.82
NOV22      ----      ----      ----      ----      ----    UNCH                   1.62
DEC22      ----      ----      ----      ----      ----    UNCH                   3.57
JAN23      ----      ----      ----      ----      ----    UNCH                   4.38
FEB23      ----      ----      ----      ----      ----    UNCH                   3.62
MAR23      ----      ----      ----      ----      ----    UNCH                   2.14
APR23      ----      ----      ----      ----      ----    UNCH                   -.58
MAY23      ----      ----      ----      ----      ----    UNCH                  -1.11
JUN23      ----      ----      ----      ----      ----    UNCH                  -1.41
JLY23      ----      ----      ----      ----      ----    UNCH                  -2.83
H9 NAT GAS CS3 SYNTHT
AUG20      ----      ----      ----      ----      ----    UNCH                  -5.46
SEP20      ----      ----      ----      ----      ----    UNCH                  -9.66
OCT20      ----      ----      ----      ----      ----    UNCH                  -9.96
NOV20      ----      ----      ----      ----      ----    UNCH                  -5.71
DEC20      ----      ----      ----      ----      ----    UNCH                   -.02
JAN21      ----      ----      ----      ----      ----    UNCH                   3.89
FEB21      ----      ----      ----      ----      ----    UNCH                   3.87
MAR21      ----      ----      ----      ----      ----    UNCH                   2.44
APR21      ----      ----      ----      ----      ----    UNCH                   -.54
MAY21      ----      ----      ----      ----      ----    UNCH                   -.98
JUN21      ----      ----      ----      ----      ----    UNCH                   -.46
JLY21      ----      ----      ----      ----      ----    UNCH                   -.19
AUG21      ----      ----      ----      ----      ----    UNCH                   -.51
SEP21      ----      ----      ----      ----      ----    UNCH                  -1.93
OCT21      ----      ----      ----      ----      ----    UNCH                  -2.76
NOV21      ----      ----      ----      ----      ----    UNCH                  -1.88
DEC21      ----      ----      ----      ----      ----    UNCH                    .85
JAN22      ----      ----      ----      ----      ----    UNCH                   5.55
FEB22      ----      ----      ----      ----      ----    UNCH                   5.49
MAR22      ----      ----      ----      ----      ----    UNCH                   3.71
APR22      ----      ----      ----      ----      ----    UNCH                   -.37
MAY22      ----      ----      ----      ----      ----    UNCH                   -.83
JUN22      ----      ----      ----      ----      ----    UNCH                   -.33
JLY22      ----      ----      ----      ----      ----    UNCH                   -.12
AUG22      ----      ----      ----      ----      ----    UNCH                   -.67
SEP22      ----      ----      ----      ----      ----    UNCH                  -2.48
OCT22      ----      ----      ----      ----      ----    UNCH                  -3.51
NOV22      ----      ----      ----      ----      ----    UNCH                  -2.48
DEC22      ----      ----      ----      ----      ----    UNCH                    .47
JAN23      ----      ----      ----      ----      ----    UNCH                   4.49
FEB23      ----      ----      ----      ----      ----    UNCH                   4.40
MAR23      ----      ----      ----      ----      ----    UNCH                   2.69
APR23      ----      ----      ----      ----      ----    UNCH                   -.48
MAY23      ----      ----      ----      ----      ----    UNCH                   -.96
JUN23      ----      ----      ----      ----      ----    UNCH                   -.47
JLY23      ----      ----      ----      ----      ----    UNCH                   -.33
HCL WTI Houston Crude Oil Futures
AUG20      ----      ----      ----      ----      ----    UNCH                  40.17           3          45
SEP20      ----      ----      ----      ----      ----    UNCH                  40.52           1          82
OCT20      ----      ----      ----      ----      ----    UNCH                  40.77           1         124
NOV20      ----      ----      ----      ----      ----    UNCH                  40.91           1          77
DEC20      ----      ----      ----      ----      ----    UNCH                  41.00           1         120
JAN21      ----      ----      ----      ----      ----    UNCH                  41.28          15           4
FEB21      ----      ----      ----      ----      ----    UNCH                  41.43          15          15
MAR21      ----      ----      ----      ----      ----    UNCH                  41.46          15          15
APR21      ----      ----      ----      ----      ----    UNCH                  41.35
MAY21      ----      ----      ----      ----      ----    UNCH                  41.51
JUN21      ----      ----      ----      ----      ----    UNCH                  41.99                       4
JLY21      ----      ----      ----      ----      ----    UNCH                  41.90
AUG21      ----      ----      ----      ----      ----    UNCH                  41.84
SEP21      ----      ----      ----      ----      ----    UNCH                  41.76
OCT21      ----      ----      ----      ----      ----    UNCH                  41.70
NOV21      ----      ----      ----      ----      ----    UNCH                  41.65
DEC21      ----      ----      ----      ----      ----    UNCH                  42.39
JAN22      ----      ----      ----      ----      ----    UNCH                  42.27
FEB22      ----      ----      ----      ----      ----    UNCH                  42.18
MAR22      ----      ----      ----      ----      ----    UNCH                  42.09
APR22      ----      ----      ----      ----      ----    UNCH                  42.03
MAY22      ----      ----      ----      ----      ----    UNCH                  41.95
JUN22      ----      ----      ----      ----      ----    UNCH                  41.91
JLY22      ----      ----      ----      ----      ----    UNCH                  41.83
AUG22      ----      ----      ----      ----      ----    UNCH                  41.78
SEP22      ----      ----      ----      ----      ----    UNCH                  41.74
OCT22      ----      ----      ----      ----      ----    UNCH                  41.71
NOV22      ----      ----      ----      ----      ----    UNCH                  41.68
DEC22      ----      ----      ----      ----      ----    UNCH                  41.63
JAN23      ----      ----      ----      ----      ----    UNCH                  41.55
FEB23      ----      ----      ----      ----      ----    UNCH                  41.50
MAR23      ----      ----      ----      ----      ----    UNCH                  41.42
APR23      ----      ----      ----      ----      ----    UNCH                  41.36
MAY23      ----      ----      ----      ----      ----    UNCH                  41.34
JUN23      ----      ----      ----      ----      ----    UNCH                  41.35
JLY23      ----      ----      ----      ----      ----    UNCH                  41.31
AUG23      ----      ----      ----      ----      ----    UNCH                  41.29
SEP23      ----      ----      ----      ----      ----    UNCH                  41.27
OCT23      ----      ----      ----      ----      ----    UNCH                  41.26
NOV23      ----      ----      ----      ----      ----    UNCH                  41.29
DEC23      ----      ----      ----      ----      ----    UNCH                  41.33
JAN24      ----      ----      ----      ----      ----    UNCH                  41.30
FEB24      ----      ----      ----      ----      ----    UNCH                  41.29
TOTAL                                                               EST.VOL                 VOLUME    OPEN INT
TOTAL                                                                                           52         486
HCY HEATING OIL CR SYNTH
AUG20      ----      ----      ----      ----      ----    UNCH                   9.76
SEP20      ----      ----      ----      ----      ----    UNCH                  10.55
OCT20      ----      ----      ----      ----      ----    UNCH                  11.38
NOV20      ----      ----      ----      ----      ----    UNCH                  12.08
DEC20      ----      ----      ----      ----      ----    UNCH                  12.59
JAN21      ----      ----      ----      ----      ----    UNCH                  13.10
FEB21      ----      ----      ----      ----      ----    UNCH                  13.47
MAR21      ----      ----      ----      ----      ----    UNCH                  13.68
APR21      ----      ----      ----      ----      ----    UNCH                  13.65
MAY21      ----      ----      ----      ----      ----    UNCH                  13.74
JUN21      ----      ----      ----      ----      ----    UNCH                  13.89
JLY21      ----      ----      ----      ----      ----    UNCH                  14.32
AUG21      ----      ----      ----      ----      ----    UNCH                  14.72
SEP21      ----      ----      ----      ----      ----    UNCH                  15.06
OCT21      ----      ----      ----      ----      ----    UNCH                  15.38
NOV21      ----      ----      ----      ----      ----    UNCH                  15.67
DEC21      ----      ----      ----      ----      ----    UNCH                  15.91
JAN22      ----      ----      ----      ----      ----    UNCH                  16.29
FEB22      ----      ----      ----      ----      ----    UNCH                  16.60
MAR22      ----      ----      ----      ----      ----    UNCH                  16.63
APR22      ----      ----      ----      ----      ----    UNCH                  16.43
MAY22      ----      ----      ----      ----      ----    UNCH                  16.40
JUN22      ----      ----      ----      ----      ----    UNCH                  16.54
JLY22      ----      ----      ----      ----      ----    UNCH                  16.95
AUG22      ----      ----      ----      ----      ----    UNCH                  17.30
SEP22      ----      ----      ----      ----      ----    UNCH                  17.64
OCT22      ----      ----      ----      ----      ----    UNCH                  17.96
NOV22      ----      ----      ----      ----      ----    UNCH                  18.15
DEC22      ----      ----      ----      ----      ----    UNCH                  18.35
JAN23      ----      ----      ----      ----      ----    UNCH                  18.77
FEB23      ----      ----      ----      ----      ----    UNCH                  19.00
MAR23      ----      ----      ----      ----      ----    UNCH                  19.01
APR23      ----      ----      ----      ----      ----    UNCH                  18.56
MAY23      ----      ----      ----      ----      ----    UNCH                  18.32
JUN23      ----      ----      ----      ----      ----    UNCH                  18.11
JLY23      ----      ----      ----      ----      ----    UNCH                  18.46
AUG23      ----      ----      ----      ----      ----    UNCH                  18.78
SEP23      ----      ----      ----      ----      ----    UNCH                  19.07
OCT23      ----      ----      ----      ----      ----    UNCH                  19.50
NOV23      ----      ----      ----      ----      ----    UNCH                  19.89
DEC23      ----      ----      ----      ----      ----    UNCH                  20.16
JAN24      ----      ----      ----      ----      ----    UNCH                  20.31
HH Henry Hub Natural Gas Look-Alike Last Day Financia
AUG20     1.715     1.768B    1.701A    1.768B     ----    UNCH         392      1.709        4926       24264
SEP20     1.764     1.824B    1.743A    1.824B     ----    UNCH         123      1.754        1269       16947
OCT20      ----     1.920B     ----     1.920B     ----    UNCH          10      1.863        1033       17036
NOV20      ----     2.292B     ----     2.292B     ----    UNCH           4      2.255         432       17859
DEC20      ----      ----      ----      ----      ----    UNCH          20      2.720        2815       15043
JAN21      ----      ----      ----      ----      ----    UNCH          14      2.859         304       17928
FEB21     2.805     2.842B    2.804A    2.842B     ----    UNCH          12      2.826         134       11703
MAR21     2.743     2.745B    2.743     2.745B     ----    UNCH           7      2.722         315       15625
APR21     2.483     2.483     2.483     2.483      ----    UNCH           7      2.470         327       10990
MAY21      ----     2.456B    2.419A    2.451B     ----    UNCH           6      2.439         212        7770
JUN21      ----      ----      ----      ----      ----    UNCH           6      2.478          79        7694
JLY21      ----      ----      ----      ----      ----    UNCH          23      2.524         154        7127
AUG21      ----      ----      ----      ----      ----    UNCH          14      2.537         138        6050
SEP21      ----      ----      ----      ----      ----    UNCH           6      2.524         129        5991
OCT21      ----      ----      ----      ----      ----    UNCH           6      2.543          87       10519
NOV21      ----      ----      ----      ----      ----    UNCH           6      2.588          36        5541
DEC21      ----      ----      ----      ----      ----    UNCH           6      2.717          75        9583
JAN22      ----      ----      ----      ----      ----    UNCH                  2.819           7        3692
FEB22      ----      ----      ----      ----      ----    UNCH                  2.776           7        5520
MAR22      ----      ----      ----      ----      ----    UNCH                  2.632           7        6789
APR22      ----      ----      ----      ----      ----    UNCH                  2.264           7        5849
MAY22      ----      ----      ----      ----      ----    UNCH                  2.227           8        2956
JUN22      ----      ----      ----      ----      ----    UNCH                  2.261          16        1739
JLY22      ----      ----      ----      ----      ----    UNCH                  2.301          23        1779
AUG22      ----      ----      ----      ----      ----    UNCH                  2.310                    1560
SEP22      ----      ----      ----      ----      ----    UNCH                  2.294         102        1715
OCT22      ----      ----      ----      ----      ----    UNCH                  2.313                    2864
NOV22      ----      ----      ----      ----      ----    UNCH                  2.377                    1748
DEC22      ----      ----      ----      ----      ----    UNCH                  2.542                    1694
JAN23      ----      ----      ----      ----      ----    UNCH                  2.664                    1710
FEB23      ----      ----      ----      ----      ----    UNCH                  2.625                    1073
MAR23      ----      ----      ----      ----      ----    UNCH                  2.495                    1506
APR23      ----      ----      ----      ----      ----    UNCH                  2.215                    1261
MAY23      ----      ----      ----      ----      ----    UNCH                  2.185                     973
JUN23      ----      ----      ----      ----      ----    UNCH                  2.226                    1007
JLY23      ----      ----      ----      ----      ----    UNCH                  2.263                    1015
AUG23      ----      ----      ----      ----      ----    UNCH                  2.281                     997
SEP23      ----      ----      ----      ----      ----    UNCH                  2.273                     972
OCT23      ----      ----      ----      ----      ----    UNCH                  2.296                    1722
NOV23      ----      ----      ----      ----      ----    UNCH                  2.367                     827
DEC23      ----      ----      ----      ----      ----    UNCH                  2.546                     842
